epoch,score_before_B_update,score_after_B_update,score_after_Omega_update,B_contribution,Omega_contribution,total_change,B_improves,Omega_improves,B_worsens,Omega_worsens,B_matrix_changes,Omega_matrix_changes
19,4.625051893439641,5.440546014582717,5.108718949023836,0.8154941211430753,-0.33182706555888064,0.48366705558419465,False,True,True,False,0.5425672203551238,0.7502687583373088
20,5.108718949023836,4.798579213993298,4.624580222055128,-0.31013973503053816,-0.17399899193816992,-0.4841387269687081,True,True,False,False,0.5566102158412672,0.7506717369334567
21,4.624580222055128,4.480405735427304,4.454501148429767,-0.14417448662782384,-0.025904586997537393,-0.17007907362536123,True,True,False,False,0.03970016256573366,0.13251277017674237
22,4.454501148429767,5.3050134971690905,4.951307875067831,0.8505123487393238,-0.3537056221012591,0.4968067266380647,False,True,True,False,0.7603303115340377,0.5563827356660618
23,4.951307875067831,4.6312974536213645,4.440467917368199,-0.32001042144646696,-0.19082953625316534,-0.5108399576996323,True,True,False,False,0.481008236644307,0.5654209194059803
24,4.440467917368199,4.407472838773427,4.406334301033142,-0.03299507859477213,-0.0011385377402852725,-0.034133616335057404,True,True,False,False,0.10181300971478308,0.020982954024105795
25,4.406334301033142,4.398833013555,4.398776340708115,-0.00750128747814216,-5.667284688470886e-05,-0.007557960325026869,True,True,False,False,0.007989933053691839,0.004450692542895467
26,4.398776340708115,4.397153413499392,4.397150806746969,-0.00162292720872248,-2.6067524236950135e-06,-0.001625533961146175,True,True,False,False,0.021803725708657747,0.0009458532224212516
27,4.397150806746969,4.39673022417466,4.39673005105606,-0.0004205825723087031,-1.7311860034396886e-07,-0.0004207556909090471,True,True,False,False,0.004861421489163191,0.0002442753447904177
28,4.39673005105606,4.396702529220169,4.396702528792156,-2.7521835890276236e-05,-4.2801318045349035e-10,-2.752226390345669e-05,True,True,False,False,0.003916059954546462,5.469863762549244e-05
29,4.396702528792156,4.411401967395976,4.411189878461445,0.01469943860382017,-0.00021208893453117383,0.014487349669288996,False,True,True,False,0.06485305300928633,0.00857051923488504
30,4.411189878461445,4.3969005943486295,4.3966925395256435,-0.014289284112815714,-0.0002080548229859147,-0.01449733893580163,True,True,False,False,0.06508652982069471,0.008570988459755098
31,4.3966925395256435,4.454825452546807,4.451686380181562,0.05813291302116319,-0.0031390723652444663,0.054993840655918724,False,True,True,False,0.12937965603602827,0.033885080059250575
32,4.451686380181562,4.412107384497853,4.410453474111808,-0.03957899568370937,-0.001653910386044899,-0.04123290606975427,True,True,False,False,0.06757984807806064,0.02574616058714236
33,4.410453474111808,6.016483926693471,5.129425607930962,1.6060304525816633,-0.8870583187625094,0.7189721338191539,False,True,True,False,0.6423731857763504,0.9621795349757727
34,5.129425607930962,4.811550033077791,4.6244736573186165,-0.3178755748531712,-0.18707637575917424,-0.5049519506123454,True,True,False,False,0.5571489389596903,0.8021365361918009
35,4.6244736573186165,4.4803072269894075,4.4544026401153065,-0.14416643032920895,-0.02590458687410102,-0.17007101720330997,True,True,False,False,0.039521129493565184,0.13251275288237227
36,4.4544026401153065,4.402325565644596,4.3994095591739395,-0.052077074470710194,-0.002916006470656818,-0.05499308094136701,True,True,False,False,0.11807274854147283,0.0340647497514094
37,4.3994095591739395,4.397249485571431,4.397244818920726,-0.0021600736025089162,-4.666650704976405e-06,-0.0021647402532138926,True,True,False,False,0.02507329593699548,0.0012642777460860856
