graph_label,d,calm_degree,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,shd,sk_p,sk_r,n_edges_est
50-node ER4,50,4.0,20000,3,717477276,CALM,ok,200,1026.6268309999723,,194.0,192.0,0.5925925925925926,0.48,162
50-node ER4,50,4.0,20000,3,717477276,GOLEM-NV-l1,ok,200,52.27887080004439,,271.0,269.0,0.3160919540229885,0.275,174
50-node ER4,50,4.0,20000,3,717477276,NOTEARS,ok,200,1689.3271065999288,,100.0,100.0,0.7203389830508474,0.85,236
50-node ER4,50,4.0,20000,3,717477276,PC,ok,200,3.9972903998568654,,195.0,,0.7551020408163265,0.185,77
50-node ER4,50,4.0,20000,3,717477276,FGES,ok,200,36.832395300036296,,635.0,,0.2583222370173103,0.97,754
50-node ER4,50,4.0,20000,3,717477276,cd_A,ok,200,441.3946483999025,,529.0,529.0,0.21415270018621974,0.575,537
50-node ER4,50,4.0,20000,3,717477276,cd_A_weakfaith,ok,200,298.90927470009774,,201.0,200.0,0.5533980582524272,0.57,206
50-node ER4,50,4.0,20000,4,786064305,CALM,ok,200,798.8072625000495,,50.0,49.0,0.8584474885844748,0.94,219
50-node ER4,50,4.0,20000,4,786064305,GOLEM-NV-l1,ok,200,52.73836759990081,,259.0,256.0,0.2972972972972973,0.165,111
50-node ER4,50,4.0,20000,4,786064305,NOTEARS,ok,200,1732.3682277000044,,75.0,74.0,0.7758620689655172,0.9,232
50-node ER4,50,4.0,20000,4,786064305,PC,ok,200,3.644382799975574,,188.0,,0.6708860759493671,0.265,81
50-node ER4,50,4.0,20000,4,786064305,FGES,ok,200,43.12417999980971,,708.0,,0.23012048192771084,0.955,830
50-node ER4,50,4.0,20000,4,786064305,cd_A,ok,200,399.0722964000888,,369.0,370.0,0.31143552311435524,0.64,411
50-node ER4,50,4.0,20000,4,786064305,cd_A_weakfaith,ok,200,302.974739999976,,109.0,109.0,0.7403846153846154,0.77,208
50-node ER4,50,4.0,20000,5,513226573,CALM,ok,200,706.0709887000266,,66.0,68.0,0.8127853881278538,0.89,219
50-node ER4,50,4.0,20000,5,513226573,GOLEM-NV-l1,ok,200,53.29829329997301,,257.0,257.0,0.27,0.135,100
50-node ER4,50,4.0,20000,5,513226573,NOTEARS,ok,200,2260.3365745998453,,125.0,127.0,0.6549019607843137,0.835,255
50-node ER4,50,4.0,20000,5,513226573,PC,ok,200,3.472287599928677,,189.0,,0.7,0.28,86
50-node ER4,50,4.0,20000,5,513226573,FGES,ok,200,31.57658390002325,,622.0,,0.25630810092961487,0.965,756
50-node ER4,50,4.0,20000,5,513226573,cd_A,ok,200,379.30063290009275,,325.0,323.0,0.34,0.595,350
50-node ER4,50,4.0,20000,5,513226573,cd_A_weakfaith,ok,200,295.26073589990847,,129.0,130.0,0.7383720930232558,0.635,172
