d,degree,trial_id,seed,shd,n_edges_true,n_edges_est,runtime_sec
30,1.0,7,898087625,9.0,21,30,5.410112000070512
30,1.0,8,288328103,12.0,13,23,5.3036830998025835
30,1.0,9,239557784,10.0,22,31,5.481003500055522
30,1.0,10,682495503,7.0,15,22,5.272796000353992
30,1.0,11,636761825,7.0,12,20,5.254999400116503
30,1.0,12,139752483,7.0,20,27,5.338647100143135
30,1.0,13,832736746,8.0,13,21,5.397719000000507
30,1.0,14,199908202,11.0,21,31,5.318971400149167
30,1.0,15,7362269,9.0,21,30,5.1611560001038015
30,1.0,16,796842586,5.0,13,18,5.289153099991381
30,1.0,17,786924377,11.0,10,22,5.389828500337899
30,1.0,18,780364318,9.0,13,22,5.529709099791944
30,1.0,19,664850856,14.0,17,27,5.220684800297022
30,1.0,20,471567144,4.0,18,22,5.420395900029689
30,2.0,1,705165378,10.0,20,29,5.353205899707973
30,2.0,2,277121625,8.0,20,28,5.683054800145328
30,2.0,3,780729030,10.0,26,36,5.519379199948162
30,2.0,4,555646960,7.0,38,45,5.736246900167316
30,2.0,5,458915775,5.0,32,37,5.4277966995723546
30,2.0,6,505606251,10.0,33,43,5.579996400047094
30,2.0,7,568741195,11.0,25,32,5.160889599937946
30,2.0,8,37262311,9.0,31,40,5.2841074001044035
30,2.0,9,139796998,6.0,40,46,5.101824100129306
30,2.0,10,245481166,9.0,30,39,5.280010400339961
30,2.0,11,114530073,12.0,27,39,5.098335400223732
30,2.0,12,439613574,3.0,30,33,5.2646065996959805
30,2.0,13,668402961,7.0,41,48,5.05415330035612
30,2.0,14,654428859,9.0,31,40,5.326194199733436
30,2.0,15,471096205,9.0,25,34,5.846861199941486
30,2.0,16,855080007,11.0,34,46,5.616278399713337
30,2.0,17,565236106,9.0,22,31,5.772301399614662
30,2.0,18,79197403,8.0,31,39,5.429912900086492
30,2.0,19,764998857,26.0,29,51,5.657667400315404
30,2.0,20,574600623,34.0,35,64,5.833780700340867
30,3.0,1,634718319,6.0,32,38,5.732338100206107
30,3.0,2,565373325,9.0,47,56,5.468793699983507
30,3.0,3,553579400,5.0,46,51,5.439484499860555
30,3.0,4,90566425,107.0,48,136,6.056125300005078
30,3.0,5,559207160,32.0,41,66,5.484703300055116
30,3.0,6,794912616,38.0,45,73,5.345171599648893
30,3.0,7,303950097,9.0,46,55,5.38666159985587
30,3.0,8,602838243,6.0,44,48,5.2797618000768125
30,3.0,9,30817834,7.0,37,44,5.049418699927628
30,3.0,10,436717389,2.0,54,56,5.400857899803668
30,3.0,11,982738393,9.0,40,49,5.070442700292915
30,3.0,12,214584672,84.0,57,130,5.8269873997196555
30,3.0,13,276548331,7.0,51,58,5.48545840010047
30,3.0,14,408528643,6.0,53,59,5.622466600034386
30,3.0,15,992665618,7.0,34,41,5.779078599996865
30,3.0,16,34692964,9.0,37,46,5.565859799738973
30,3.0,17,233939485,8.0,38,46,5.64385879971087
30,3.0,18,821674449,11.0,47,58,5.880440500099212
30,3.0,19,58302741,96.0,48,125,6.249984000343829
30,3.0,20,855670853,8.0,43,51,5.897724399808794
30,4.0,1,281383891,48.0,53,95,6.164522900246084
30,4.0,2,917652131,111.0,56,151,6.329277299810201
30,4.0,3,293593757,62.0,64,109,6.255779299885035
30,4.0,4,434316805,7.0,52,59,5.770365499891341
30,4.0,5,661916514,6.0,54,61,5.562181899789721
30,4.0,6,126280735,128.0,66,170,6.809886300005019
30,4.0,7,557032152,85.0,71,146,6.310543799772859
30,4.0,8,505015495,76.0,57,128,6.357397199608386
30,4.0,9,783898208,43.0,57,89,5.842744899913669
30,4.0,10,996106906,5.0,53,58,4.157371799927205
30,4.0,11,664313540,5.0,58,64,4.55399510031566
30,4.0,12,409186442,45.0,50,89,4.456943400204182
30,4.0,13,406386861,90.0,60,135,5.3066533003002405
30,4.0,14,417958745,62.0,57,108,4.895426899660379
30,4.0,15,814020384,62.0,70,123,5.184304399881512
30,4.0,16,321215732,3.0,75,78,4.877906400244683
30,4.0,17,166972919,8.0,52,60,4.180433100089431
30,4.0,18,334291442,35.0,55,80,4.353080499917269
30,4.0,19,106142582,5.0,47,51,4.277001699898392
30,4.0,20,90047860,10.0,62,73,4.498372800182551
40,1.0,1,771552413,10.0,14,25,5.597899899818003
40,1.0,2,722359350,16.0,18,35,6.012879200279713
40,1.0,3,696770792,11.0,19,30,5.996924499981105
40,1.0,4,461877230,14.0,19,33,5.724826799705625
40,1.0,5,717058512,8.0,19,27,5.656080900225788
40,1.0,6,161271778,11.0,26,37,5.735450600273907
40,1.0,7,501044774,11.0,21,31,5.507252200040966
40,1.0,8,938051391,8.0,16,24,5.384334499947727
40,1.0,9,152312102,16.0,30,46,5.916793699841946
40,1.0,10,696320374,17.0,21,39,7.1085199997760355
40,1.0,11,495625870,14.0,21,36,6.75954130012542
40,1.0,12,446156275,10.0,17,28,6.692781399935484
40,1.0,13,238766265,13.0,21,34,7.0480637000873685
40,1.0,14,301512089,6.0,14,21,7.500421599950641
40,1.0,15,683700662,12.0,19,30,7.176199700217694
40,1.0,16,630282592,11.0,20,33,6.760675400029868
40,1.0,17,607196431,12.0,19,31,6.589838500134647
40,1.0,18,361812610,15.0,17,32,6.764276700094342
40,1.0,19,959692583,9.0,16,26,6.880093599669635
40,1.0,20,87649919,8.0,9,18,6.592739699874073
40,2.0,1,342590774,14.0,40,54,6.655720599927008
40,2.0,2,338943805,15.0,34,48,5.528626399580389
40,2.0,3,961897664,9.0,37,46,5.442016299813986
40,2.0,4,366263536,26.0,40,65,5.542734100017697
40,2.0,5,908580690,15.0,46,61,5.6290210001170635
40,2.0,6,495065658,11.0,35,42,5.420344500336796
40,2.0,7,699707133,27.0,43,61,5.503705100156367
40,2.0,8,457417486,6.0,35,41,5.983622500207275
40,2.0,9,265869961,12.0,49,60,5.736190900206566
40,2.0,10,764229452,10.0,43,53,5.652273000217974
40,2.0,11,969176377,9.0,41,50,5.4364784001372755
40,2.0,12,263524860,7.0,49,57,5.262600600253791
40,2.0,13,778750903,10.0,32,43,5.871049900073558
40,2.0,14,716890189,11.0,25,37,5.004158299881965
40,2.0,15,789006562,8.0,50,58,5.144513400271535
40,2.0,16,449361501,9.0,40,49,5.488382400013506
40,2.0,17,736919598,11.0,52,62,5.513978799805045
40,2.0,18,272241561,10.0,28,35,5.1681999997235835
40,2.0,19,96390962,12.0,39,51,5.161549999844283
40,2.0,20,447023719,8.0,40,49,5.202565600164235
40,3.0,1,902602396,15.0,59,74,5.4890733999200165
40,3.0,2,127576849,13.0,49,61,5.306200799997896
40,3.0,3,455776289,10.0,57,67,5.4614511001855135
40,3.0,4,704032060,38.0,62,97,5.420616500079632
40,3.0,5,202363364,18.0,60,79,5.350700499955565
40,3.0,6,721616398,19.0,67,85,5.6111012999899685
40,3.0,7,305956623,9.0,55,64,5.106243399903178
40,3.0,8,808660746,7.0,65,71,5.186957899946719
40,3.0,9,579219568,12.0,64,76,5.684034700039774
40,3.0,10,546907272,5.0,55,58,5.46129749994725
40,3.0,11,176772782,9.0,66,75,5.29035779973492
40,3.0,12,463205909,12.0,50,62,5.413928200025111
40,3.0,13,856614283,23.0,73,92,5.694692499935627
40,3.0,14,19523991,6.0,68,74,5.872337500099093
40,3.0,15,758519529,9.0,55,63,5.243395600002259
40,3.0,16,492762391,59.0,53,101,5.566424800083041
40,3.0,17,719462955,6.0,46,52,5.247736799996346
40,3.0,18,663298012,9.0,67,76,5.45413690013811
40,3.0,19,432093039,47.0,49,89,5.0964017999358475
40,3.0,20,308667200,9.0,55,64,5.022433700039983
40,4.0,1,627308840,168.0,80,223,6.549435600172728
40,4.0,2,140224270,9.0,74,82,4.976750900037587
40,4.0,3,584097968,147.0,85,213,6.706350099761039
40,4.0,4,94694692,167.0,74,224,7.327457800041884
40,4.0,5,649846601,189.0,87,256,8.270577900111675
40,4.0,6,628745286,12.0,70,84,5.500983600039035
40,4.0,7,84444320,4.0,73,77,5.365894000045955
40,4.0,8,757487895,50.0,93,137,6.456028699874878
40,4.0,9,415807401,16.0,77,89,6.380913299974054
40,4.0,10,786886457,12.0,70,82,6.3507750001735985
40,4.0,11,41614173,5.0,80,85,5.796975899953395
40,4.0,12,179456498,80.0,91,157,6.6327551999129355
40,4.0,13,493990819,8.0,80,88,7.0122986999340355
40,4.0,14,188225171,69.0,90,142,6.97343510016799
40,4.0,15,329861212,201.0,72,243,7.7741042003035545
40,4.0,16,660599043,244.0,89,308,9.008098999969661
40,4.0,17,144524188,14.0,83,95,5.665878199972212
40,4.0,18,677702941,124.0,84,191,8.411223399918526
40,4.0,19,103402967,7.0,62,69,5.4690260998904705
40,4.0,20,175185179,97.0,78,161,6.244946100283414
50,1.0,1,587644572,21.0,34,55,6.231732199899852
50,1.0,2,793483234,14.0,28,43,6.949513900093734
50,1.0,3,170592968,16.0,20,38,6.5080568003468215
50,1.0,4,299992790,16.0,20,37,6.665186900179833
50,1.0,5,925120118,7.0,23,30,6.424035200383514
50,1.0,6,989683690,16.0,30,45,6.292832899838686
50,1.0,7,581061139,14.0,26,41,6.434614200145006
50,1.0,8,447038151,10.0,18,29,6.556472999975085
50,1.0,9,346869804,19.0,23,43,6.7950049000792205
50,1.0,10,612451919,19.0,22,40,6.430604599881917
50,1.0,11,590915491,21.0,24,46,7.020822999998927
50,1.0,12,294753033,15.0,20,35,6.386520300060511
50,1.0,13,22803870,12.0,28,40,6.648128100205213
50,1.0,14,151498306,9.0,25,34,6.899403899908066
50,1.0,15,958559213,13.0,25,38,6.6790976002812386
50,1.0,16,482303436,11.0,18,29,7.092405300121754
50,1.0,17,467107552,12.0,20,32,6.884099900256842
50,1.0,18,782735227,15.0,32,45,6.722729600034654
50,1.0,19,64956566,18.0,33,51,6.890622300095856
50,1.0,20,82729999,14.0,28,44,6.57635990018025
50,2.0,1,275847245,16.0,38,55,6.654251100029796
50,2.0,2,486658330,11.0,57,68,6.191286699846387
50,2.0,3,671124039,10.0,63,73,6.723048199899495
50,2.0,4,490706994,17.0,45,63,6.898228900041431
50,2.0,5,441168077,10.0,41,51,6.583451800048351
50,2.0,6,937826454,15.0,41,56,6.539314500056207
50,2.0,7,161018944,12.0,48,60,6.154908000025898
50,2.0,8,571728052,11.0,52,62,6.113173900172114
50,2.0,9,473489400,16.0,42,59,6.262683799955994
50,2.0,10,266975662,11.0,53,63,6.418860900215805
50,2.0,11,953772862,21.0,42,63,6.042103700339794
50,2.0,12,331568997,17.0,40,58,6.504927900154144
50,2.0,13,545004481,17.0,46,62,6.312699200119823
50,2.0,14,520672402,13.0,53,66,6.668663099873811
50,2.0,15,849777895,15.0,55,70,6.301666799932718
50,2.0,16,438911460,17.0,47,61,6.374477900099009
50,2.0,17,284558959,44.0,61,96,6.220623999834061
50,2.0,18,21612079,10.0,61,71,6.161986799910665
50,2.0,19,363678253,9.0,61,70,6.22559650009498
50,2.0,20,826291924,15.0,47,62,6.507073400076479
