d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio,mask_total_offdiag,mask_tau,mask_n_screens,mask_allowed_count,mask_zero_count,mask_zero_ratio,mask_corr_zero_count,mask_corr_allowed_count,mask_corr_zero_ratio,mask_corr_keep_ratio,mask_pcorr_zero_count,mask_pcorr_allowed_count,mask_pcorr_zero_ratio,mask_pcorr_keep_ratio,mask_glasso_zero_count,mask_glasso_allowed_count,mask_glasso_zero_ratio,mask_glasso_keep_ratio,mask_overlap_corr_pcorr_count,mask_overlap_corr_pcorr_union_count,mask_overlap_corr_pcorr_jaccard,mask_overlap_corr_pcorr_overlap_ratio,mask_overlap_all_count,mask_overlap_all_union_count,mask_overlap_all_jaccard
30,20000,4,438878439,wf_corr_tau0.02,0,17.0,32.0,33,37,12.138091899920255,26040,0.2988505747126437,870,0.02,1,260,610,0.7011494252873564,610.0,260.0,0.7011494252873564,0.2988505747126437,,,,,,,,,,,,,,,
30,20000,4,438878439,wf_corr_tau0.05,0,18.0,29.0,33,36,13.369954699999653,30225,0.29195402298850576,870,0.05,1,254,616,0.7080459770114943,616.0,254.0,0.7080459770114943,0.29195402298850576,,,,,,,,,,,,,,,
30,20000,4,438878439,wf_corr_tau0.1,0,15.0,27.0,33,34,10.936489299987443,26040,0.26436781609195403,870,0.1,1,230,640,0.735632183908046,640.0,230.0,0.735632183908046,0.26436781609195403,,,,,,,,,,,,,,,
30,20000,4,438878439,wf_corr_tau0.2,0,29.0,46.0,33,36,11.151713200029917,26040,0.20919540229885059,870,0.2,1,182,688,0.7908045977011494,688.0,182.0,0.7908045977011494,0.20919540229885059,,,,,,,,,,,,,,,
30,20000,4,438878439,wf_pcorr_tau0.02,0,4.0,2.0,33,34,13.291036400012672,29760,0.12183908045977011,870,0.02,1,106,764,0.8781609195402299,,,,,764.0,106.0,0.8781609195402299,0.12183908045977011,,,,,,,,,,,
30,20000,4,438878439,wf_pcorr_tau0.05,0,4.0,2.0,33,34,13.118436600081623,29295,0.11494252873563218,870,0.05,1,100,770,0.8850574712643678,,,,,770.0,100.0,0.8850574712643678,0.11494252873563218,,,,,,,,,,,
30,20000,4,438878439,wf_pcorr_tau0.1,0,4.0,2.0,33,32,14.659259099978954,31155,0.11264367816091954,870,0.1,1,98,772,0.8873563218390804,,,,,772.0,98.0,0.8873563218390804,0.11264367816091954,,,,,,,,,,,
30,20000,4,438878439,wf_pcorr_tau0.2,0,7.0,10.0,33,29,12.908377000014298,27900,0.09425287356321839,870,0.2,1,82,788,0.9057471264367816,,,,,788.0,82.0,0.9057471264367816,0.09425287356321839,,,,,,,,,,,
30,20000,4,438878439,wf_glasso_tau0.02,0,23.0,56.0,33,42,15.424161599949002,30690,0.18620689655172415,870,0.02,1,162,708,0.8137931034482758,,,,,,,,,708.0,162.0,0.8137931034482758,0.18620689655172415,,,,,,,
30,20000,4,438878439,wf_glasso_tau0.05,0,21.0,36.0,33,37,14.062364800018258,28365,0.135632183908046,870,0.05,1,118,752,0.864367816091954,,,,,,,,,752.0,118.0,0.864367816091954,0.135632183908046,,,,,,,
