d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio
30,20000,4,438878439,wf_corr+pcorr_tau0.02,0,21.0,35.0,33,37,8.486053300031926,30225,0.3425287356321839
30,20000,4,438878439,wf_corr+pcorr_tau0.05,0,21.0,46.0,33,43,7.989201100019272,26505,0.32873563218390806
30,20000,4,438878439,wf_corr+pcorr_tau0.1,0,29.0,67.0,33,45,7.7129158999887295,26505,0.30114942528735633
30,20000,4,438878439,wf_corr+pcorr_tau0.2,0,20.0,41.0,33,39,6.995517199975438,24180,0.2413793103448276
30,20000,5,433015235,baseline,0,20.0,47.0,24,25,8.744843200023752,28830,1.0
30,20000,5,433015235,wf_corr_tau0.02,0,8.0,11.0,24,23,16.861069899983704,60450,0.1632183908045977
30,20000,5,433015235,wf_corr_tau0.05,0,9.0,12.0,24,23,16.654946400027256,58125,0.15862068965517243
30,20000,5,433015235,wf_corr_tau0.1,0,9.0,19.0,24,21,18.213695400045253,67890,0.12643678160919541
30,20000,5,433015235,wf_corr_tau0.2,0,8.0,19.0,24,18,9.11675099999411,34410,0.0896551724137931
30,20000,5,433015235,wf_pcorr_tau0.02,0,3.0,4.0,24,22,12.958225100010168,43710,0.09655172413793103
30,20000,5,433015235,wf_pcorr_tau0.05,0,1.0,1.0,24,23,12.96370449999813,43710,0.09425287356321839
30,20000,5,433015235,wf_pcorr_tau0.1,0,3.0,4.0,24,22,16.478988000017125,53940,0.0896551724137931
30,20000,5,433015235,wf_pcorr_tau0.2,0,4.0,8.0,24,20,14.655465599964373,50220,0.08505747126436781
30,20000,5,433015235,wf_glasso_tau0.02,0,4.0,4.0,24,22,12.648233400017489,39060,0.10804597701149425
30,20000,5,433015235,wf_glasso_tau0.05,0,3.0,4.0,24,22,12.905456099950243,39060,0.09425287356321839
30,20000,5,433015235,wf_glasso_tau0.1,0,19.0,45.0,24,22,11.071236299991142,33945,0.08505747126436781
30,20000,5,433015235,wf_glasso_tau0.2,0,8.0,13.0,24,19,17.720895200036466,54405,0.06666666666666667
30,20000,5,433015235,wf_corr+pcorr_tau0.02,0,8.0,20.0,24,21,14.605979699990712,53940,0.2045977011494253
30,20000,5,433015235,wf_corr+pcorr_tau0.05,0,1.0,1.0,24,23,15.561905700014904,55335,0.19770114942528735
