mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,4.0,8,6,11,735752370,cd_BOmega_l0_0.2,6.250089905026089,1.2260096999816597,149.0
0,0,7.0,8,10,11,735752370,golem_ev,,25.44181520002894,
0,0,9.0,8,8,11,735752370,golem_nv,,22.577756199985743,
0,0,8.0,8,6,11,735752370,sp,,0.023455800022929907,
0,0,1.0,8,7,11,735752370,ges,,0.10894340003142133,
0,0,3.0,4,3,12,761139701,cd_B_l0_0.1,6.816923245649003,1.2711145000066608,149.0
0,0,1.0,4,3,12,761139701,cd_BOmega_l0_0.1,5.282168589000042,1.3588540999917313,149.0
0,0,3.0,4,3,12,761139701,cd_B_l0_0.2,6.816923245649003,1.301914300012868,149.0
0,0,3.0,4,3,12,761139701,cd_BOmega_l0_0.2,5.908461622823784,1.378479199949652,149.0
0,0,2.0,4,7,12,761139701,golem_ev,,23.303667999978643,
0,0,3.0,4,5,12,761139701,golem_nv,,18.365537900011986,
1,0,0.0,4,4,12,761139701,sp,,0.019867399998474866,
0,0,0.0,4,8,12,761139701,ges,,0.12876680004410446,
0,0,3.0,4,7,13,717477276,cd_A_l0_0.0,61.322115235332376,4.6344393999897875,500.0
0,0,4.0,4,8,13,717477276,cd_B_l0_0.0,6.900454508266554,4.166440600005444,500.0
0,0,4.0,4,8,13,717477276,cd_BOmega_l0_0.0,6.036265915542016,1.7768804999650456,214.0
0,0,3.0,4,5,13,717477276,cd_A_l0_0.1,55.5285337849175,4.743929599993862,500.0
0,0,6.0,4,4,13,717477276,cd_B_l0_0.1,13.747543199903973,1.0778592000133358,149.0
0,0,6.0,4,4,13,717477276,cd_BOmega_l0_0.1,9.373771599951432,1.2224110000533983,149.0
0,0,3.0,4,5,13,717477276,cd_A_l0_0.2,55.52130824886501,4.845919699990191,500.0
0,0,6.0,4,4,13,717477276,cd_B_l0_0.2,13.747543199903973,1.0177856999798678,149.0
0,0,6.0,4,4,13,717477276,cd_BOmega_l0_0.2,9.373771599951432,1.2000839000102133,149.0
0,0,4.0,4,9,13,717477276,golem_ev,,23.66183810000075,
0,0,2.0,4,4,13,717477276,golem_nv,,19.316183499991894,
0,0,4.0,4,4,13,717477276,sp,,0.018714499950874597,
0,0,0.0,4,8,13,717477276,ges,,0.09954379999544472,
0,0,4.0,5,5,14,786064305,cd_A_l0_0.0,10.94169757456758,4.396541900001466,500.0
0,0,6.0,5,6,14,786064305,cd_B_l0_0.0,4.235231906844497,1.2727604999672621,183.0
0,0,6.0,5,6,14,786064305,cd_BOmega_l0_0.0,4.619187355946504,1.3791509000002407,158.0
0,0,4.0,5,3,14,786064305,cd_A_l0_0.1,10.929866669923014,4.629553099977784,500.0
0,0,4.0,5,3,14,786064305,cd_B_l0_0.1,4.70252630487877,1.048301300033927,149.0
0,0,4.0,5,3,14,786064305,cd_BOmega_l0_0.1,4.851263152423827,1.110996100003831,149.0
0,0,4.0,5,3,14,786064305,cd_A_l0_0.2,10.929866669922964,5.025093199976254,500.0
0,0,4.0,5,3,14,786064305,cd_B_l0_0.2,4.70252630487877,1.0788274999940768,149.0
0,0,4.0,5,3,14,786064305,cd_BOmega_l0_0.2,4.851263152423827,1.2823091999744065,149.0
0,0,5.0,5,4,14,786064305,golem_nv,,18.96926570002688,
0,0,5.0,5,4,14,786064305,sp,,0.017338399949949235,
0,0,0.0,5,7,14,786064305,ges,,0.13707250001607463,
0,0,1.0,5,6,15,513226573,golem_ev,,42.774598100048024,
0,0,9.0,5,8,15,513226573,golem_nv,,36.812350999971386,
0,0,7.0,5,8,16,128113632,cd_A_l0_0.0,9.932154524265805,4.095269199984614,500.0
0,0,7.0,5,7,16,128113632,cd_B_l0_0.0,3.4941981162648688,4.290950700000394,500.0
0,0,7.0,5,7,16,128113632,cd_BOmega_l0_0.0,4.247099058076858,4.932103200000711,500.0
0,0,6.0,5,6,16,128113632,cd_A_l0_0.1,13.031897344915922,1.848852299968712,181.0
0,0,5.0,5,4,16,128113632,cd_B_l0_0.1,8.87247519858791,1.3059580000117421,149.0
0,0,5.0,5,4,16,128113632,cd_BOmega_l0_0.1,6.936237599281846,1.7442518000025302,149.0
0,0,3.0,5,4,16,128113632,cd_A_l0_0.2,13.25118498615745,2.3970877999672666,180.0
0,0,5.0,5,4,16,128113632,cd_B_l0_0.2,8.87247519858791,1.6647394999745302,149.0
0,0,5.0,5,4,16,128113632,cd_BOmega_l0_0.2,6.936237599281846,1.3030708999722265,149.0
0,0,3.0,5,7,16,128113632,golem_ev,,39.23371279996354,
0,0,7.0,5,7,16,128113632,golem_nv,,30.861978099972475,
0,0,6.0,5,5,16,128113632,sp,,0.02174239995656535,
0,0,0.0,5,7,16,128113632,ges,,0.11598320002667606,
0,0,1.0,5,6,17,839748229,cd_A_l0_0.0,9.69627055865381,3.772959100024309,439.0
0,0,5.0,5,8,17,839748229,cd_B_l0_0.0,4.337106865142811,3.686476100003347,469.0
0,0,1.0,5,6,17,839748229,cd_BOmega_l0_0.0,4.662346302667235,1.122939899971243,149.0
0,0,3.0,5,4,17,839748229,cd_B_l0_0.1,4.959082614950798,1.4458198000211269,196.0
0,0,3.0,5,4,17,839748229,cd_B_l0_0.2,4.9590826149508205,1.3575386999873444,187.0
0,0,1.0,5,4,17,839748229,cd_BOmega_l0_0.2,5.226491233638458,1.2477813000441529,149.0
0,0,2.0,5,7,17,839748229,golem_ev,,37.31472020002548,
0,0,5.0,5,7,17,839748229,golem_nv,,30.65730809996603,
0,0,6.0,5,5,17,839748229,sp,,0.018237999989651144,
1,0,0.0,5,7,17,839748229,ges,,0.11826950003160164,
0,0,3.0,6,8,18,450385937,cd_A_l0_0.0,9.180054809942261,3.491021800029557,376.0
0,0,5.0,6,7,18,450385937,cd_B_l0_0.0,5.315465854023644,2.7501505999825895,363.0
0,0,5.0,6,7,18,450385937,cd_BOmega_l0_0.0,5.162908604241633,2.8516407000133768,327.0
0,0,3.0,6,6,18,450385937,cd_A_l0_0.1,12.945046738133545,4.7499404000118375,500.0
0,0,3.0,6,5,18,450385937,cd_B_l0_0.1,11.244766560527848,1.175179699959699,149.0
0,0,3.0,6,5,18,450385937,cd_BOmega_l0_0.1,8.12238328026291,1.286048399982974,149.0
0,0,3.0,6,6,18,450385937,cd_A_l0_0.2,12.970159459927432,4.481143100012559,500.0
0,0,3.0,6,5,18,450385937,cd_B_l0_0.2,11.244766560527848,1.0604919000179507,149.0
0,0,4.0,6,4,18,450385937,cd_BOmega_l0_0.2,8.259281011519903,1.3107957000029273,149.0
0,0,8.0,6,9,18,450385937,golem_ev,,32.90787500003353,
0,0,9.0,6,8,18,450385937,golem_nv,,27.045684600016102,
0,0,7.0,6,6,18,450385937,sp,,0.018350399972405285,
