mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
1,1,0.0,2,2,7,201469535,cd_B_l0_0.0,4.779045843788723,0.9971871000016108,149.0
1,1,0.0,2,2,7,201469535,cd_BOmega_l0_0.0,4.889522921893361,1.1327860000019427,149.0
1,1,0.0,2,2,7,201469535,cd_A_l0_0.1,9.779598404597845,1.3835923000006005,149.0
1,1,0.0,2,2,7,201469535,cd_B_l0_0.1,4.779598404577907,1.1337059000215959,149.0
1,1,0.0,2,2,7,201469535,cd_BOmega_l0_0.1,4.889799202287955,1.2078499000053853,149.0
1,1,0.0,2,2,7,201469535,cd_A_l0_0.2,9.779598404597845,1.4259496000013314,149.0
1,1,0.0,2,2,7,201469535,cd_B_l0_0.2,4.779598404577907,1.1436918999825139,149.0
1,1,0.0,2,2,7,201469535,cd_BOmega_l0_0.2,4.889799202287955,1.2109808000095654,149.0
1,1,0.0,2,2,7,201469535,golem_ev,,21.765587500005495,
0,0,3.0,2,3,7,201469535,golem_nv,,19.57402609998826,
1,1,0.0,2,2,7,201469535,sp,,0.017733799992129207,
1,1,0.0,2,2,7,201469535,ges,,0.04498750000493601,
0,0,2.0,4,4,8,94177347,cd_A_l0_0.0,10.953491119701287,4.115576900017913,500.0
0,0,3.0,4,3,8,94177347,cd_B_l0_0.0,4.251953760764966,3.190491599991219,500.0
0,0,4.0,4,4,8,94177347,cd_BOmega_l0_0.0,4.62597688014866,3.455935599980876,500.0
0,0,2.0,4,2,8,94177347,cd_A_l0_0.1,13.295990390619632,1.3820737000205554,165.0
0,0,2.0,4,2,8,94177347,cd_B_l0_0.1,7.369086309937318,0.99543999999878,149.0
0,0,2.0,4,2,8,94177347,cd_BOmega_l0_0.1,6.184543154924654,1.1846966999873985,149.0
0,0,2.0,4,2,8,94177347,cd_A_l0_0.2,13.299451595933835,1.4564945999882184,164.0
0,0,2.0,4,2,8,94177347,cd_B_l0_0.2,7.369086309937318,0.9905593000003137,149.0
0,0,2.0,4,2,8,94177347,cd_BOmega_l0_0.2,6.184543154924654,1.025567200005753,149.0
1,1,0.0,4,4,8,94177347,golem_ev,,23.51650809997227,
0,0,3.0,4,3,8,94177347,golem_nv,,19.41297000000486,
0,0,3.0,4,3,8,94177347,sp,,0.019108799984678626,
0,0,0.0,4,8,8,94177347,ges,,0.10179559999960475,
1,1,0.0,0,0,9,526478978,cd_A_l0_0.0,9.518439437588693,1.4952821000188123,149.0
1,1,0.0,0,0,9,526478978,cd_B_l0_0.0,4.518439437590854,1.4783280999981798,149.0
1,1,0.0,0,0,9,526478978,cd_BOmega_l0_0.0,4.759219718794347,1.37507030001143,149.0
1,1,0.0,0,0,9,526478978,cd_A_l0_0.1,9.519156584822033,1.5895645999989938,149.0
1,1,0.0,0,0,9,526478978,cd_B_l0_0.1,4.519156584824194,1.227844200009713,149.0
1,1,0.0,0,0,9,526478978,cd_BOmega_l0_0.1,4.759578292411017,1.3006305000162683,149.0
1,1,0.0,0,0,9,526478978,cd_A_l0_0.2,9.519156584822033,1.5671198000200093,149.0
1,1,0.0,0,0,9,526478978,cd_B_l0_0.2,4.519156584824194,1.2120072999969125,149.0
1,1,0.0,0,0,9,526478978,cd_BOmega_l0_0.2,4.759578292411017,1.3388612000271678,149.0
1,1,0.0,0,0,9,526478978,golem_ev,,19.814127300021937,
1,1,0.0,0,0,9,526478978,golem_nv,,19.79122370001278,
1,1,0.0,0,0,9,526478978,sp,,0.01871100001153536,
1,1,0.0,0,0,9,526478978,ges,,0.015145099983783439,
1,1,0.0,2,2,10,975622351,cd_A_l0_0.0,8.639402947797603,1.3311205999925733,149.0
1,1,0.0,2,2,10,975622351,cd_B_l0_0.0,3.637893087576736,0.9230797000054736,149.0
1,1,0.0,2,2,10,975622351,cd_BOmega_l0_0.0,4.318946543787139,1.0542090999952052,149.0
1,1,0.0,2,2,10,975622351,cd_A_l0_0.1,8.640576596440777,1.3933103999879677,149.0
1,1,0.0,2,2,10,975622351,cd_B_l0_0.1,3.6390684151191737,1.0562664000026416,149.0
1,1,0.0,2,2,10,975622351,cd_BOmega_l0_0.1,4.319534207558339,1.1723177999956533,149.0
1,1,0.0,2,2,10,975622351,cd_A_l0_0.2,8.640582630690968,1.422016500000609,149.0
1,1,0.0,2,2,10,975622351,cd_B_l0_0.2,3.6390684151191737,1.100629000022309,149.0
1,1,0.0,2,2,10,975622351,cd_BOmega_l0_0.2,4.319534207558339,1.1623646999942139,149.0
1,1,0.0,2,2,10,975622351,golem_ev,,23.66248379999888,
0,0,3.0,2,2,10,975622351,golem_nv,,19.03091509998194,
0,0,3.0,2,2,10,975622351,sp,,0.01920769998105243,
1,1,0.0,2,2,10,975622351,ges,,0.0423288999882061,
0,0,3.0,4,6,11,735752370,cd_A_l0_0.0,8.714005260359102,1.409662699996261,178.0
0,0,4.0,4,5,11,735752370,cd_B_l0_0.0,3.7057377768620077,0.9034840999811422,149.0
0,0,3.0,4,6,11,735752370,cd_BOmega_l0_0.0,4.355270876934266,1.240427600016119,173.0
0,0,2.0,4,4,11,735752370,cd_A_l0_0.1,9.30393548601932,1.3092924999946263,149.0
0,0,2.0,4,4,11,735752370,cd_B_l0_0.1,4.303931601236068,0.9849207999941427,149.0
0,0,2.0,4,4,11,735752370,cd_BOmega_l0_0.1,4.651965800616798,1.1275487000239082,149.0
